BeginAnalysis,,
_AnalysisName," ""Run101620-2_Material Y_Analysis 94624.mss""",
_MethodName," ""Method 123468_06-Peel Strength.msm""",
InitialSpeed,305,"  ""mm/min"""
DataRate,50,"  ""Hz"""
EndPoint,40,"  ""mm"""
GageLength,50,"  ""mm"""
PeelEndExt,40,"  ""mm"""
StartPoint,3,"  ""mm"""
BeginSample,,
AverageLoad,1.07,"  ""N"""
AvgNPeaks,2.66,"  ""N"""
PeakLoad,3.04,"  ""N"""
PeelEnd,402,"  """""
PeelStart,38,"  """""
BeginData,,
_Load, SlackExt,
N," ""mm""",
0.28,5.387,
0.29,5.489,
0.29,5.59,
0.29,5.692,
0.31,5.794,
0.32,5.895,
0.34,5.997,
0.36,6.098,
0.37,6.2,
0.39,6.302,
0.41,6.403,
0.42,6.505,
0.43,6.607,
0.42,6.708,
0.42,6.81,
0.43,6.912,
0.43,7.013,
0.44,7.115,
0.44,7.217,
0.42,7.318,
0.41,7.42,
0.43,7.522,
0.45,7.623,
0.47,7.725,
0.46,7.826,
0.46,7.929,
0.48,8.031,
0.47,8.132,
0.45,8.233,
0.47,8.336,
0.49,8.436,
0.51,8.538,
0.53,8.641,
0.54,8.741,
0.54,8.843,
0.56,8.945,
0.58,9.046,
0.61,9.149,
0.63,9.25,
0.64,9.352,
0.66,9.454,
0.69,9.555,
0.71,9.657,
0.71,9.759,
0.65,9.86,
0.61,9.961,
0.62,10.064,
0.64,10.164,
0.66,10.267,
0.69,10.369,
0.71,10.469,
0.63,10.572,
0.48,10.673,
0.44,10.775,
0.46,10.877,
0.49,10.979,
0.51,11.08,
0.53,11.182,
0.55,11.283,
0.56,11.385,
0.57,11.487,
0.58,11.588,
0.6,11.69,
0.61,11.792,
0.63,11.893,
0.62,11.995,
0.58,12.097,
0.57,12.198,
0.58,12.3,
0.57,12.402,
0.59,12.503,
0.62,12.605,
0.63,12.707,
0.64,12.808,
0.68,12.911,
0.71,13.011,
0.74,13.114,
0.77,13.216,
0.8,13.316,
0.82,13.418,
0.79,13.52,
0.7,13.621,
0.66,13.723,
0.69,13.826,
0.72,13.926,
0.73,14.028,
0.76,14.13,
0.8,14.231,
0.84,14.334,
0.89,14.435,
0.93,14.537,
0.93,14.639,
0.92,14.74,
0.94,14.842,
0.98,14.944,
