BeginAnalysis,,
_AnalysisName," ""Run101620-1_Material X_Analysis 94623.mss""",
_MethodName," ""Method 123468_06-Peel Strength.msm""",
InitialSpeed,305,"  ""mm/min"""
DataRate,50,"  ""Hz"""
EndPoint,40,"  ""mm"""
GageLength,50,"  ""mm"""
PeelEndExt,40,"  ""mm"""
StartPoint,3,"  ""mm"""
BeginSample,,
AverageLoad,0.91,"  ""N"""
AvgNPeaks,2.23,"  ""N"""
PeakLoad,2.58,"  ""N"""
PeelEnd,402,"  """""
PeelStart,38,"  """""
BeginData,,
_Load, SlackExt,
N," ""mm""",
0,0,
1.33,16.763,
1.35,16.864,
1.39,16.967,
1.39,17.068,
1.34,17.17,
1.32,17.272,
1.25,17.373,
1.2,17.475,
1.23,17.577,
1.27,17.678,
1.32,17.78,
1.36,17.881,
1.38,17.983,
1.4,18.085,
1.43,18.186,
1.4,18.288,
1.34,18.39,
1.3,18.491,
1.23,18.593,
1.18,18.695,
1.19,18.796,
1.21,18.898,
1.22,19,
1.24,19.101,
1.27,19.203,
1.32,19.305,
1.36,19.406,
1.4,19.508,
1.42,19.61,
1.44,19.711,
1.46,19.814,
1.49,19.914,
1.52,20.017,
1.53,20.119,
1.54,20.22,
1.54,20.321,
1.51,20.424,
1.48,20.524,
1.46,20.627,
1.45,20.728,
1.46,20.829,
1.46,20.932,
1.49,21.033,
1.51,21.134,
1.55,21.237,
1.61,21.338,
1.68,21.44,
1.72,21.542,
1.75,21.643,
1.8,21.744,
1.87,21.847,
1.94,21.948,
2,22.05,
2.03,22.152,
2.06,22.253,
2.1,22.355,
2.13,22.457,
2.13,22.558,
2.12,22.66,
2.15,22.762,
2.17,22.863,
2.17,22.965,
2.02,23.066,
1.77,23.168,
1.66,23.27,
1.69,23.371,
1.74,23.473,
1.74,23.575,
1.66,23.676,
1.61,23.778,
1.62,23.88,
1.61,23.981,
1.6,24.083,
1.64,24.185,
1.72,24.286,
1.8,24.388,
1.88,24.49,
1.92,24.591,
1.97,24.694,
2.03,24.795,
2.1,24.896,
2.18,24.999,
2.27,25.1,
2.33,25.202,
2.35,25.303,
2.28,25.405,
2.26,25.506,
2.34,25.608,
2.38,25.709,
2.41,25.812,
2.46,25.913,
2.5,26.014,
2.52,26.117,
2.46,26.218,
2.4,26.319,
2.44,26.422,
2.49,26.523,
2.39,26.624,
2.28,26.727,
2.22,26.828,
2.21,26.93,
2.24,27.032,
2.26,27.132,
2.22,27.235,
2.16,27.337,
2.19,27.438,
2.28,27.54,
2.33,27.642,
2.33,27.743,
2.33,27.845,
2.35,27.947,
2.36,28.048,
2.36,28.15,
2.31,28.251,
2.28,28.353,
2.33,28.455,
2.34,28.556,
2.27,28.658,
2.25,28.76,
2.3,28.861,
2.34,28.963,
2.34,29.065,
2.33,29.166,
2.32,29.268,
2.33,29.37,
2.4,29.471,
2.48,29.573,
2.51,29.675,
2.49,29.776,
2.51,29.879,
2.53,29.98,
2.51,30.081,
2.46,30.183,
2.35,30.284,
2.26,30.387,
2.2,30.488,
2.11,30.589,
2.07,30.691,
2.02,30.794,
1.88,30.894,
1.8,30.997,
1.73,31.098,
1.62,31.199,
1.58,31.302,
1.55,31.403,
1.51,31.504,
1.49,31.607,
1.49,31.708,
1.51,31.809,
